feature,psi,missing_ref,missing_cmp,mean_ref,mean_cmp,ks_stat,ks_p,severity
TroponinI_locf,1.162921891745183,0.9789,0.71445,8.451737770019173,5.465240181472483,0.6516663748321952,0.0,material
FiO2_obs_rate,1.0966528928165469,0.0,0.0,0.17711594440410844,0.034696924437217724,0.40195000000000003,0.0,material
DBP_dev,1.0677887710846792,0.3789,0.030366666666666667,6.068822956147111,5.652553714607378,0.060556051202661776,7.43572528684731e-73,material
pulse_pressure,1.0505097844890567,0.3789,0.03038333333333333,59.69755514400091,60.07852673751469,0.038329573315136256,1.9692053612088005e-29,material
DBP_n_obs,1.0394419450603039,0.0,0.0,14.5138,23.040266666666668,0.34853333333333336,0.0,material
PTT_hours_since,1.0342480405581356,0.3327833333333333,0.7857833333333333,11.533384957410137,23.5547343032755,0.2222033099048999,0.0,material
TroponinI_dev,1.0169268552991073,0.9789,0.71445,2.3801536136439747,1.1231249668932648,0.4822258975846341,8.417077773613885e-253,material
PTT_n_obs,0.9947060483857965,0.0,0.0,1.45885,0.34175,0.453,0.0,material
PTT_dev,0.9604327233113047,0.3327833333333333,0.7857833333333333,7.98339582004947,8.794965849453199,0.14853666910514224,7.804795594871163e-188,material
PTT_obs_rate,0.9513913953117009,0.0,0.0,0.0652035402920718,0.015343187393407181,0.46349999999999997,0.0,material
PTT_locf,0.9344855602283605,0.3327833333333333,0.7857833333333333,36.23155520375805,39.03137008609414,0.08691105726673032,2.1804977591322173e-64,material
Resp_obs_rate,0.9005658673576262,0.0,0.0,0.8692865872636437,0.7316444760668712,0.3472833333333334,0.0,material
FiO2_n_obs,0.8208205523901415,0.0,0.0,4.651483333333333,0.8879666666666667,0.35085,0.0,material
pH_obs_rate,0.7949892859299001,0.0,0.0,0.15516958946482434,0.034839818193550066,0.3635333333333333,0.0,material
TroponinI_hours_since,0.7742778463981612,0.9789,0.71445,16.536334913112164,17.914375766065486,0.021277084244451627,0.6518261822778415,material
pH_n_obs,0.7057806427772717,0.0,0.0,3.6165166666666666,0.87305,0.3408833333333334,0.0,material
DBP_max6,0.7013908381757314,0.4406333333333333,0.13473333333333334,67.5598668136583,75.14949745731073,0.2223286103083673,0.0,material
Hct_obs_rate,0.6818634755524244,0.0,0.0,0.14642166842889662,0.06568825990009354,0.3414333333333333,0.0,material
DBP_mean6,0.6653803964507554,0.4406333333333333,0.13473333333333334,60.734151217176084,66.28121339853229,0.20623249066454585,0.0,material
FiO2_hours_since,0.6533244987040535,0.4261333333333333,0.7099833333333333,6.166937732342007,17.406355956554222,0.39630762538430364,0.0,material
hgb_hct_ratio,0.6524223313044407,0.16525,0.26285,0.34025171507978147,0.3280166449246075,0.34920679882522976,0.0,material
pH_hours_since,0.6523566164700993,0.3837,0.7146666666666667,7.597355184163557,17.427219626168224,0.28318325356880547,0.0,material
hosp_adm_time,0.6491784750224753,0.0,0.0,-49.61655361152363,-60.41403363176855,0.3166,0.0,material
DBP_std6,0.6149294716215523,0.44276666666666664,0.13518333333333332,4.88752086539541,6.3496342796925465,0.15184583422217224,0.0,material
DBP_min6,0.60172583405062,0.4406333333333333,0.13473333333333334,54.93199153804898,58.74004179847765,0.17144367105253,0.0,material
PaCO2_obs_rate,0.5833225526444632,0.0,0.0,0.12326278758007102,0.034881386064447,0.33020000000000005,0.0,material
pH_dev,0.5751784036347521,0.3837,0.7146666666666667,1.1474401914284802,1.5558843931775042,0.181811273993175,0.0,material
pH_std6,0.5631994047027059,0.43553333333333333,0.7337666666666667,0.009377754245397685,0.005205313692084095,0.30918148274162716,0.0,material
lab_order_rate,0.5515634747806946,0.0,0.0,2.147440508942213,1.165590967142582,0.32321666666666665,0.0,material
PaCO2_n_obs,0.5441027162580906,0.0,0.0,2.8405833333333335,0.87515,0.30493333333333333,0.0,material
FiO2_locf,0.5270579460613902,0.4261333333333333,0.7099833333333333,0.5073937062919746,0.6789673030407263,0.21443639124487351,0.0,material
PaCO2_hours_since,0.5197818848854596,0.40875,0.7136833333333333,8.759351656095841,17.453635252342977,0.23399407006628914,0.0,material
n_vitals_this_hour,0.5017489389002143,0.0,0.0,5.29285,5.514283333333333,0.21575,0.0,material
DBP_slope6,0.493864335369664,0.4775333333333333,0.19045,-0.0027287759956819025,-0.024214446517075484,0.060739032369167556,1.5250761272647394e-61,material
pH_locf,0.4761280637409787,0.3837,0.7146666666666667,7.391143909687799,7.389830608568459,0.048175392744258666,4.847325769292757e-24,material
pH_slope6,0.4606559896209108,0.48325,0.7606166666666667,0.0005663598457518337,0.0004951378100335158,0.15363061903478248,9.04554605121346e-203,material
HR_obs_rate,0.4551273791204558,0.0,0.0,0.8882880908922602,0.8190599336059764,0.2382333333333333,0.0,material
FiO2_dev,0.4356621510103821,0.4261333333333333,0.7099833333333333,0.039440777054592695,0.023366002633640366,0.23087833690709994,0.0,material
PaCO2_dev,0.425280577858563,0.40875,0.7136833333333333,6.477154574490259,8.339463494713254,0.108367760250738,7.999863527853213e-119,material
Hct_n_obs,0.41481689078698636,0.0,0.0,3.3340666666666667,1.6812,0.2637999999999999,0.0,material
PaCO2_locf,0.41180784234272705,0.40875,0.7136833333333333,40.79826638477801,39.987382844105205,0.08958412070459365,2.839235149638251e-81,material
pH_mean6,0.4059758039286089,0.43125,0.73115,7.391904786888933,7.390643007423761,0.0559283176683214,3.207856003555175e-30,material
pH_max6,0.40554383564950286,0.43125,0.73115,7.401861665592962,7.395919037001212,0.07586706914064179,2.8253457355075505e-55,material
pH_min6,0.39445988636007845,0.43125,0.73115,7.381532591879149,7.384782098480805,0.04885285788540383,3.715127780946473e-23,material
SaO2_locf,0.39438581613526674,0.6536333333333333,0.7472,91.03212154727275,96.7974089801563,0.3201542334489398,0.0,material
Glucose_obs_rate,0.3856012225099292,0.0,0.0,0.15119122619985914,0.22536348780778548,0.27060000000000006,0.0,material
pH_slope12,0.3771009467689954,0.5797666666666667,0.8024333333333333,0.000558188103560276,0.00037167472644643524,0.19962411449237982,4.361015449972056e-282,material
MAP_obs_rate,0.34260171391333494,0.0,0.0,0.8696527645575504,0.7975279164136698,0.21561666666666668,0.0,material
Temp_dev,0.33125876071754373,0.0719,0.07665,4.584980208451606,6.0868609001895155,0.232883246994237,0.0,material
cum_labs,0.31193784020843135,0.0,0.0,50.696533333333335,29.901733333333333,0.2334666666666667,0.0,material
pH_std24,0.28823666206870796,0.6821333333333334,0.8378833333333333,0.019844752628459496,0.012813710363304842,0.3584747736529401,0.0,material
Glucose_hours_since,0.2879780113440691,0.14083333333333334,0.15371666666666667,6.188787584869059,3.502806388719302,0.2614043016910041,0.0,material
O2Sat_dev,0.28259802066184014,0.019766666666666665,0.02955,5.2489775066262245,8.278067655736605,0.22622039548430783,0.0,material
Glucose_std6,0.2758223577636943,0.20333333333333334,0.21581666666666666,6.573503475449217,10.154409960346003,0.28939168963723066,0.0,material
DBP_slope12,0.2683718873466059,0.5725,0.3476166666666667,0.01575779756316897,0.00221846833933797,0.051864402424279366,1.146843703569396e-36,material
Hct_dev,0.2577508580797786,0.13283333333333333,0.26195,6.0749473818566315,9.207492276864338,0.17307211546075657,0.0,material
Magnesium_obs_rate,0.2543101443248447,0.0,0.0,0.08646234753498187,0.052107028754470715,0.21510000000000007,0.0,material
MAP_min6,0.25336748006814047,0.12851666666666667,0.1398,70.24590849989939,77.46306091606603,0.22114459829071598,0.0,material
MAP_mean6,0.25112897037627446,0.12851666666666667,0.1398,78.97818205876351,86.42978135166376,0.2109308895421113,0.0,material
BUN_obs_rate,0.24768408749022242,0.0,0.0,0.10067686658697203,0.0617022955437152,0.21605000000000002,0.0,moderate
Hgb_obs_rate,0.2474077265061239,0.0,0.0,0.11165845776647329,0.06578287300825662,0.20690000000000003,0.0,moderate
MAP_locf,0.2447822012709598,0.018366666666666667,0.03755,78.92558728574659,86.5617088333593,0.1976565387235466,0.0,moderate
Hct_locf,0.24092844789089235,0.13283333333333333,0.26195,31.47374726008984,32.0528252282483,0.10535390616524076,1.1796988798237944e-231,moderate
Glucose_slope6,0.22610804496984824,0.29228333333333334,0.3028,-0.3790640079975198,-0.2898787608776091,0.14072662156369475,0.0,moderate
Phosphate_obs_rate,0.22515881101806132,0.0,0.0,0.056386867869769534,0.033379800345632246,0.22058333333333335,0.0,moderate
O2Sat_obs_rate,0.21936638146611415,0.0,0.0,0.8557675985176737,0.8037260144410655,0.19358333333333333,0.0,moderate
Glucose_n_obs,0.20798391878528857,0.0,0.0,3.4682666666666666,6.323883333333334,0.17984999999999995,0.0,moderate
SBP_obs_rate,0.20587982128317514,0.0,0.0,0.8257377099701358,0.8051853525882121,0.18866666666666665,0.0,moderate
Hct_hours_since,0.19901900575815865,0.13283333333333333,0.26195,6.286699980780319,8.592123388207664,0.1412018736669447,0.0,moderate
Hct_mean6,0.19251397727717096,0.18748333333333334,0.28851666666666664,31.53619633625501,32.07525364582848,0.10519128196208072,9.605846074443718e-220,moderate
MAP_max6,0.19063328210741454,0.12851666666666667,0.1398,88.82363422327921,96.47425017437806,0.1819228276950774,0.0,moderate
Phosphate_hours_since,0.18741855532780616,0.3328,0.52765,8.828836930455635,11.467202992131542,0.09293617820890954,3.5730173653952754e-125,moderate
Phosphate_n_obs,0.186590595029344,0.0,0.0,1.4496833333333334,0.8784833333333333,0.19485000000000002,0.0,moderate
Hct_max6,0.18541152320404786,0.18748333333333334,0.28851666666666664,31.98848946968794,32.327104397200294,0.09518972482352661,6.072555293541528e-180,moderate
Hgb_locf,0.1834982169617513,0.16431666666666667,0.2612833333333333,10.713307474396583,10.507145506287326,0.1276026391803483,0.0,moderate
Hct_min6,0.17970509220109138,0.18748333333333334,0.28851666666666664,31.06551270526885,31.81610741836797,0.11392186171283925,9.085838966710353e-258,moderate
Creatinine_slope12,0.17955694785686405,0.4709333333333333,0.5287,-5.079704043319291e-05,-0.0017498585269388074,0.08311896856370171,2.4938497435132924e-90,moderate
WBC_obs_rate,0.17353464828714416,0.0,0.0,0.09274654986364766,0.05911746592271375,0.17333333333333334,0.0,moderate
DBP_std24,0.17044922000528012,0.70015,0.5706333333333333,6.599405756992477,8.074792754542981,0.188297426150127,0.0,moderate
Phosphate_dev,0.16687401227284018,0.3328,0.52765,1.009268491670186,1.1202226520567569,0.04773784180023399,2.668852011506359e-33,moderate
modified_shock_index,0.16390319491699268,0.018433333333333333,0.037766666666666664,1.1077504326723915,1.0026116387133772,0.16878096813495802,0.0,moderate
DBP_mean24,0.16131995111347053,0.6995333333333333,0.5706,60.94590797121731,66.04478387850409,0.21487599014067965,0.0,moderate
Magnesium_n_obs,0.1602390793724265,0.0,0.0,2.200616666666667,1.3814333333333333,0.17868333333333342,0.0,moderate
Phosphate_locf,0.15918434615084767,0.3328,0.52765,3.552243202933662,3.5033926110316265,0.015728216093368608,0.0005382828893711562,moderate
pH_mean24,0.15219105740971486,0.6813333333333333,0.8373666666666667,7.395775321088576,7.395640711726701,0.05208694764771904,1.1265684857972973e-15,moderate
Hgb_n_obs,0.15207988607486017,0.0,0.0,2.5217,1.6832833333333332,0.1691166666666667,0.0,moderate
bun_creatinine,0.14999753187059855,0.1802,0.2525833333333333,20.600770209200007,17.629933296019235,0.1523186906572459,0.0,moderate
Potassium_obs_rate,0.14445250469082901,0.0,0.0,0.12961028361152857,0.09198332199571888,0.1714666666666667,0.0,moderate
Hgb_dev,0.135420645034117,0.16431666666666667,0.2612833333333333,2.3214622740096766,3.0089787879287466,0.13176769538239594,0.0,moderate
BUN_n_obs,0.13363193562132142,0.0,0.0,2.3200666666666665,1.57185,0.15966666666666668,0.0,moderate
SaO2_obs_rate,0.13244549014045132,0.0,0.0,0.06732490847589603,0.029172660159696048,0.12468333333333337,0.0,moderate
Bilirubin_total_locf,0.13228501511795793,0.76185,0.6363833333333333,2.0520890242822216,1.4109455944818536,0.11100548354375356,4.047996311726525e-93,moderate
Calcium_obs_rate,0.1309853857706717,0.0,0.0,0.05578741287246812,0.0829577347772778,0.13584999999999997,0.0,moderate
Hct_std6,0.12994842060291634,0.19766666666666666,0.30355,0.4411584332517216,0.24751094983253405,0.1585840789763434,0.0,moderate
MAP_mean24,0.1289069529381544,0.564,0.571,79.43286571240206,86.33367925924021,0.2104096718775617,0.0,moderate
Hct_slope6,0.12352143580476888,0.2846666666666667,0.40386666666666665,-0.026854458439781417,-0.02599996258327631,0.08965695984664973,6.600579234115093e-137,moderate
Resp_std6,0.12235100285147645,0.13056666666666666,0.14056666666666667,2.7391744476924083,2.2040411023727207,0.1670199745385409,0.0,moderate
BUN_dev,0.12181422965881127,0.16245,0.2525833333333333,5.330548527055859,6.590282907656107,0.12234558470298171,1.3411669852332e-309,moderate
Bilirubin_direct_locf,0.1177964264053094,0.9762,0.9312166666666667,3.3715686240554357,0.9254470546148773,0.49095761396392823,1.86055208491515e-233,moderate
Calcium_locf,0.11680308324589299,0.34055,0.22808333333333333,8.34895368810883,7.731639655089643,0.11690705236227941,1.5359631314162209e-254,moderate
Temp_max6,0.11631644737444485,0.14966666666666667,0.14193333333333333,37.18523084703308,37.00488013519514,0.1663753972606562,0.0,moderate
Temp_slope6,0.11412792262468413,0.2241,0.23363333333333333,0.00643245704679589,0.004743161113717792,0.06314279532066569,1.2619693866802298e-80,moderate
SaO2_n_obs,0.1123719228533061,0.0,0.0,1.5403833333333334,0.7437166666666667,0.12025000000000008,0.0,moderate
WBC_n_obs,0.10747447347807698,0.0,0.0,2.117566666666667,1.5004166666666667,0.14118333333333327,0.0,moderate
AST_locf,0.10747065872731484,0.7552666666666666,0.63685,189.46697085262872,111.34916701087705,0.16453874452431083,5.281323285772305e-208,moderate
sofa_resp,0.10742988306966732,0.70285,0.7680333333333333,212.83349836975214,249.18935010517797,0.3276854156897642,0.0,moderate
Temp_locf,0.10716568284385088,0.0719,0.07665,36.94337190227237,36.804139805327246,0.13437079033928423,0.0,moderate
WBC_locf,0.1071096265859042,0.18453333333333333,0.27148333333333335,11.928887344439964,10.599021072527814,0.12478027783234491,9.174848288e-314,moderate
Hct_mean24,0.10349789812750233,0.5665833333333333,0.5959333333333333,31.410539858626805,31.882247264384045,0.10977906124623338,3.789584939118134e-132,moderate
Resp_locf,0.1026626203256361,0.020833333333333332,0.04053333333333333,18.77160425531915,18.597519455252918,0.06785261137984461,7.746945349112206e-117,moderate
Bilirubin_direct_dev,0.10123636043455184,0.9762,0.9312166666666667,1.1885886864371293,0.3561784658338804,0.34571541240678483,3.694194765071277e-113,moderate
SaO2_hours_since,0.10054292854944409,0.6536333333333333,0.7472,11.364883071889135,18.64418512658228,0.191627689614552,1.834444102568421e-282,moderate
Hct_slope12,0.09928737820854752,0.4301,0.5332,-0.026959091627662784,-0.02828046135546922,0.0963090897900527,9.359942052837797e-125,stable
Potassium_n_obs,0.09817544339982252,0.0,0.0,3.0788,2.3688666666666665,0.1332833333333333,0.0,stable
Alkalinephos_locf,0.09769762443198515,0.7604833333333333,0.6366,109.80819010507271,87.97511924417537,0.11555864999072402,3.158682600544779e-101,stable
AST_dev,0.09591993644407143,0.7552666666666666,0.63685,32.627280869164,23.4337644711605,0.10842416668051258,2.9228591994439963e-90,stable
Alkalinephos_dev,0.09530174873450338,0.7604833333333333,0.6366,32.83053969788917,24.55908326399416,0.08005729232548453,9.75764863599752e-49,stable
Temp_std6,0.09507078240272337,0.15325,0.14625,0.21240376209529835,0.18293607973537218,0.10273954486500864,7.333943683240472e-235,stable
Resp_min6,0.09093627545272148,0.13038333333333332,0.13933333333333334,15.508230829676641,15.925697134004647,0.10606362345224041,1.0795886219036065e-254,stable
Temp_obs_rate,0.09080404318139428,0.0,0.0,0.3550951810236089,0.3240035642033132,0.1232833333333333,0.0,stable
WBC_max6,0.08894397382100017,0.22576666666666667,0.29615,12.17256533318434,10.803215649388164,0.12597285699125133,1.8708948440077264e-306,stable
WBC_dev,0.08863768456200635,0.18453333333333333,0.27148333333333335,2.7229603012971095,3.047036896786212,0.10581783693819619,1.5034435969766636e-225,stable
sofa_liver,0.0884745576900208,0.76185,0.6363833333333333,0.5921338092238785,0.44909932621350324,0.0637073031345523,6.58609913603645e-31,stable
Platelets_obs_rate,0.08807842161098214,0.0,0.0,0.08113947911188006,0.0602825938927747,0.13230000000000003,0.0,stable
Bilirubin_total_dev,0.08726618675214226,0.76185,0.6363833333333333,0.6101024949075456,0.38007519689256225,0.04941618710274431,9.204672786679224e-19,stable
Creatinine_obs_rate,0.08713658544179001,0.0,0.0,0.08018620007786278,0.06176168295846243,0.13788333333333336,0.0,stable
WBC_mean6,0.08708146156853737,0.22576666666666667,0.29615,11.917721258631872,10.596260806083691,0.1241086133888768,1.965104946099925e-297,stable
Magnesium_dev,0.08698053152801394,0.22585,0.33631666666666665,0.5651460846486772,0.6570032773826823,0.07923432397114599,1.5914550833402452e-117,stable
WBC_min6,0.08322455090549559,0.22576666666666667,0.29615,11.655447324336379,10.385802848344275,0.12071381788345331,2.3502388958322396e-281,stable
Calcium_n_obs,0.08309384953478471,0.0,0.0,1.41875,2.08685,0.11246666666666669,0.0,stable
Creatinine_dev,0.08305632096192324,0.17913333333333334,0.25233333333333335,0.3319810091377058,0.4560278108608524,0.09601060125188376,8.22358519968929e-189,stable
Hct_std24,0.08278772885526733,0.5669166666666666,0.5971166666666666,1.166562025622362,0.8104466482061693,0.18768615980180253,0.0,stable
Resp_max6,0.08235181115346783,0.13038333333333332,0.13933333333333334,22.587231922111275,21.466576297443844,0.11004174300528935,3.550949793971181e-274,stable
Magnesium_hours_since,0.08233863299928547,0.22585,0.33631666666666665,7.720381493681241,9.22689033424575,0.06666260880829522,2.7786919548892937e-83,stable
Glucose_slope12,0.08212798110718705,0.43675,0.4447833333333333,-0.386532771018244,-0.2090727343484462,0.09289277644449667,1.974642473359763e-126,stable
Platelets_dev,0.07968786402381814,0.18208333333333335,0.2695166666666667,51.72370247780305,57.734490670045325,0.09308264031308544,5.031744173575165e-175,stable
MAP_dev,0.07668732825164626,0.018366666666666667,0.03755,4.3429165364810975,7.754170638088966,0.10656319629765876,8.783253778413028e-289,stable
Bilirubin_total_hours_since,0.07586894710227379,0.76185,0.6363833333333333,17.151375183707746,17.867351148187193,0.01033297245607484,0.313068365461454,stable
Bilirubin_total_n_obs,0.07567476117241012,0.0,0.0,0.39875,0.5476666666666666,0.12546666666666662,0.0,stable
SBP_max6,0.07533190672288499,0.15146666666666667,0.13455,133.5443736252584,140.32841065351133,0.11935201154846098,1.5223e-319,stable
Alkalinephos_hours_since,0.07442079900306331,0.7604833333333333,0.6366,17.620346531208686,17.882406897816914,0.01540843040101414,0.03237719941649919,stable
Alkalinephos_n_obs,0.0736724463622735,0.0,0.0,0.4746666666666667,0.5465666666666666,0.12388333333333335,0.0,stable
Calcium_dev,0.07354250813098825,0.34055,0.22808333333333333,2.4657729815280915,2.334412620325763,0.05410033656433887,1.0105347346426428e-54,stable
Lactate_n_obs,0.07334722219916658,0.0,0.0,1.1880333333333333,0.7388833333333333,0.11565000000000003,0.0,stable
Calcium_hours_since,0.07251263763574387,0.34055,0.22808333333333333,8.995248565723962,8.05935442081399,0.03890609205329987,1.68291636402627e-28,stable
Lactate_mean6,0.0721441951871357,0.6651,0.7759333333333334,1.9121442528778407,2.002946381420296,0.06020383163724369,8.036177803820425e-26,stable
Lactate_dev,0.07171357884303273,0.6468333333333334,0.7624833333333333,0.28601153891240333,0.24656535935173465,0.03308875205730588,1.53573294104969e-08,stable
Lactate_hours_since,0.07128555533955869,0.6468333333333334,0.7624833333333333,15.44700330344502,19.650621009051996,0.05724749981530142,1.0267059978705489e-24,stable
Temp_min6,0.06995003819410604,0.14966666666666667,0.14193333333333333,36.72277164029309,36.60599603394363,0.131374215099074,0.0,stable
Magnesium_locf,0.06931743771983323,0.22585,0.33631666666666665,2.034473928172749,2.055230896568308,0.04122876447486257,4.1940704049379625e-32,stable
age_shock_index,0.06831343783637767,0.046766666666666665,0.030533333333333332,45.269409607668734,41.62317902984292,0.11441821906074023,0.0,stable
Hgb_hours_since,0.06813889383384045,0.16431666666666667,0.2612833333333333,7.6155641092120225,8.514992216230851,0.039656583028734094,1.3884173203467854e-32,stable
SBP_mean6,0.06789766544761552,0.15146666666666667,0.13455,120.96226173871572,126.36998992778285,0.11241568650979439,1.983066000867343e-283,stable
AST_hours_since,0.06778426254709528,0.7552666666666666,0.63685,17.31633070008172,17.898664463720227,0.016887396379173053,0.013278977203612622,stable
AST_n_obs,0.06692696255644627,0.0,0.0,0.48423333333333335,0.5457666666666666,0.11841666666666673,0.0,stable
Potassium_dev,0.06676888850013886,0.14958333333333335,0.2187,0.8844959896298052,1.0274945080298443,0.07726108943040386,2.7227850655979077e-127,stable
Bilirubin_total_obs_rate,0.06672404889163416,0.0,0.0,0.015878276718365184,0.024689065285690596,0.12546666666666662,0.0,stable
Creatinine_slope6,0.06641048155363656,0.3295166666666667,0.39785,0.00023739092127824009,-0.0017342947043733224,0.046221476321358757,8.919569767205242e-36,stable
SBP_locf,0.06624759010965203,0.04671666666666666,0.030166666666666668,120.9231968459244,126.4854954460106,0.09964486424503738,8.996843337811138e-250,stable
Lactate_locf,0.06617009771358226,0.6468333333333334,0.7624833333333333,1.9229886714307527,2.023038382890241,0.06734531499557134,4.796419148861225e-34,stable
BUN_hours_since,0.06517995705986537,0.16245,0.2525833333333333,7.629236065508527,8.554309287545992,0.05250675067268107,3.1825850607776145e-57,stable
Lactate_obs_rate,0.06464047259613588,0.0,0.0,0.04963552103503995,0.029675926351931413,0.11909999999999998,0.0,stable
Temp_mean6,0.06436491585969047,0.14966666666666667,0.14193333333333333,36.95713882270583,36.807487878569006,0.12744731736425885,0.0,stable
Lactate_min6,0.06285603060616038,0.6651,0.7759333333333334,1.8295894275712614,1.914372210411648,0.0697448042992935,1.62780020055324e-34,stable
Lactate_max6,0.06269514658694497,0.6651,0.7759333333333334,2.0005817634059184,2.099908508420239,0.059466061430349104,3.341521742526814e-25,stable
Lactate_std6,0.05984217346204724,0.6694333333333333,0.7780833333333333,0.08084507075194365,0.08538903103514951,0.024054322298282638,0.00019482695499972895,stable
BUN_locf,0.05951206754797814,0.16245,0.2525833333333333,23.297932461743578,22.582238822611217,0.035520868264314776,2.0531974276262916e-26,stable
Platelets_n_obs,0.059501017290227096,0.0,0.0,1.8466,1.5324666666666666,0.09683333333333333,2.6806782154285296e-245,stable
Platelets_locf,0.05821748346932515,0.18208333333333335,0.2695166666666667,210.80722873153337,199.26840676264572,0.03448028040527573,2.38171027904806e-24,stable
SaO2_dev,0.057858777112907475,0.6536333333333333,0.7472,20.19390502464838,21.312079121502606,0.07516151442724493,1.5945327578036799e-43,stable
shock_index,0.05729547271509904,0.046766666666666665,0.030533333333333332,0.7244710636544,0.6888924323067452,0.09869815128099607,5.48260689094631e-245,stable
HR_dev,0.05609895274870551,0.017483333333333333,0.02815,4.463014355087942,7.069705014396981,0.10006453510740498,5.596946370404364e-256,stable
Potassium_hours_since,0.05531276934059613,0.14958333333333335,0.2187,6.418931896129348,7.523699816545075,0.06696204241230042,1.078048482290772e-95,stable
Alkalinephos_obs_rate,0.05502425418826191,0.0,0.0,0.019050182330829557,0.02464211401094605,0.12388333333333335,0.0,stable
Creatinine_std24,0.054199512187591246,0.5676166666666667,0.5913666666666667,0.07527947493787396,0.0921065520257598,0.12819996106280512,4.5891233622354043e-181,stable
Bilirubin_direct_hours_since,0.05341288324926237,0.9762,0.9312166666666667,21.27170868347339,28.50181730070269,0.12028375682717957,7.838797862001257e-14,stable
WBC_hours_since,0.05293406198335915,0.18453333333333333,0.27148333333333335,8.164711412688032,8.927501086682986,0.03551813716957963,9.710001809101848e-26,stable
Resp_mean6,0.05167339220283334,0.13038333333333332,0.13933333333333334,18.83610597842929,18.55129792928742,0.05960065925572666,1.3858673868977458e-80,stable
SBP_min6,0.05090408857723758,0.15146666666666667,0.13455,108.95198656492155,112.9765074044494,0.0945403760382223,2.0168794106302494e-200,stable
Platelets_hours_since,0.0507827396139094,0.18208333333333335,0.2695166666666667,8.190504330106979,8.876360400647973,0.0345401290782672,1.9667998009816968e-24,stable
sirs_score,0.050459331787499284,0.0,0.0,1.1673833333333334,0.9519,0.08568333333333333,4.55397036715867e-192,stable
Potassium_locf,0.05019491419449753,0.14958333333333335,0.2187,4.122721212095983,4.056441609513318,0.06370091982902898,1.2397074510594067e-86,stable
Lactate_slope6,0.05015446955546827,0.7042666666666667,0.8001666666666667,-0.011701702124998057,-0.012778843527364997,0.024200519143169355,0.00045070932473753687,stable
Creatinine_n_obs,0.04798546675575019,0.0,0.0,1.8687333333333334,1.5728333333333333,0.09106666666666674,5.974991609471912e-217,stable
AST_obs_rate,0.047837396657222614,0.0,0.0,0.01944341551674297,0.024601290280926818,0.11841666666666673,0.0,stable
Resp_std24,0.0463735664435282,0.56455,0.5711666666666667,3.425143945356913,3.0279852651476946,0.13448615540839848,6.213317162950203e-205,stable
hours_since_any_lab,0.046050150089547534,0.07163333333333333,0.1207,3.018024487451079,2.988684180598203,0.044344267841256724,9.770297564139318e-47,stable
sofa_coag,0.045909482588002974,0.18208333333333335,0.2695166666666667,0.40725420275089147,0.46558214880558535,0.027087044754943945,3.438485859245251e-15,stable
